Location,TestME,ID,Url,CacheUrl,IP,ASNumber,PingAVG,TimeToGetFirstByte,RedirectUrl,StatusCode
aalto,m,2020-10-24 11:09:49.294981,https://www.youtube.com/watch?v=7CZq5SkIiu0,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,23.75,0.09074091911315918,,200
aalto,m,2020-10-24 11:10:28.386933,https://www.youtube.com/watch?v=_luhn7TLfWU,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,7.879,0.11633515357971191,,200
aalto,m,2020-10-24 11:10:51.956573,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.206,2603,16.779,0.869225025177002,,200
aalto,m,2020-10-24 11:11:17.070416,https://www.youtube.com/watch?v=OaPt-19C2No,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,7.788,0.09153008460998535,,200
aalto,m,2020-10-24 11:11:45.243796,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,26.403,0.3536069393157959,,200
aalto,m,2020-10-24 11:12:09.144032,https://www.youtube.com/watch?v=hoXj-j0VSTA,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,9.012,0.10798001289367676,,200
aalto,m,2020-10-24 11:12:31.628438,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.837,0.45059800148010254,,200
aalto,m,2020-10-24 11:12:57.444425,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.705,0.431520938873291,,200
aalto,m,2020-10-24 11:13:20.832550,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,216.58.207.246,15169,21.413,0.13942289352416992,,200
aalto,m,2020-10-24 11:13:45.020719,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,216.58.207.246,15169,53.801,0.49893617630004883,,200
aalto,m,2020-10-24 11:14:10.950294,https://www.youtube.com/watch?v=XSpURiqvPMs,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,8.296,0.11674809455871582,,200
aalto,m,2020-10-24 11:14:33.798664,https://www.youtube.com/watch?v=YTZ-GZPTND8,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.864,0.09818506240844727,,200
aalto,m,2020-10-24 11:14:57.504219,https://www.youtube.com/watch?v=6Dh-RL__uN4,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,8.474,0.0882868766784668,,200
