Location,TestME,ID,Url,CacheUrl,IP,ASNumber,PingAVG,TimeToGetFirstByte,RedirectUrl,StatusCode
Asia/Google,E,2020-10-23 18:33:51.797720,https://www.youtube.com/watch?v=7CZq5SkIiu0,https://r2---sn-ogul7n7k.googlevideo.com,173.194.49.71,15169,,0.04155397415161133,,200
Asia/Google,E,2020-10-23 18:34:08.393943,https://www.youtube.com/watch?v=_luhn7TLfWU,https://r2---sn-ogul7n7s.googlevideo.com,74.125.96.135,15169,,0.038420915603637695,,200
Asia/Google,E,2020-10-23 18:34:27.444596,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-oguelnsl.googlevideo.com,173.194.51.8,15169,,,https://r3---sn-npoe7ne6.googlevideo.com,302
Asia/Google,E,2020-10-23 18:34:29.570114,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-npoe7ne6.googlevideo.com,74.125.101.232,15169,,0.35086989402770996,,200
Asia/Google,E,2020-10-23 18:34:48.856231,https://www.youtube.com/watch?v=OaPt-19C2No,https://r6---sn-oguesnzs.googlevideo.com,74.125.106.204,15169,,0.039160966873168945,,200
Asia/Google,E,2020-10-23 18:35:08.231949,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r5---sn-ogul7nel.googlevideo.com,74.125.102.138,15169,,,https://r5---sn-npoeenez.googlevideo.com,302
Asia/Google,E,2020-10-23 18:35:13.786452,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r5---sn-npoeenez.googlevideo.com,173.194.22.42,15169,,1.0171458721160889,,200
Asia/Google,E,2020-10-23 18:35:34.890336,https://www.youtube.com/watch?v=hoXj-j0VSTA,https://r4---sn-ogueln7k.googlevideo.com,173.194.51.138,15169,,0.03258204460144043,,200
Asia/Google,E,2020-10-23 18:35:48.480504,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-ogueln7z.googlevideo.com,173.194.49.215,15169,,,https://r1---sn-npoe7ne7.googlevideo.com,302
Asia/Google,E,2020-10-23 18:35:48.660308,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-npoe7ne7.googlevideo.com,173.194.59.6,15169,,0.9920930862426758,,200
Asia/Google,E,2020-10-23 18:36:17.256154,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r5---sn-oguelnlz.googlevideo.com,74.125.106.234,15169,,,https://r5---sn-npoe7nes.googlevideo.com,302
Asia/Google,E,2020-10-23 18:36:17.371398,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r5---sn-npoe7nes.googlevideo.com,74.125.171.74,15169,,0.9855620861053467,,200
Asia/Google,E,2020-10-23 18:36:38.788261,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,172.217.175.246,15169,,,,
Asia/Google,E,2020-10-23 18:36:43.061877,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,172.217.25.246,15169,,0.08122396469116211,,200
Asia/Google,E,2020-10-23 18:36:58.694578,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,172.217.175.246,15169,,,,
Asia/Google,E,2020-10-23 18:36:58.695930,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,172.217.25.246,15169,,0.3680400848388672,,200
Asia/Google,E,2020-10-23 18:37:14.916630,https://www.youtube.com/watch?v=XSpURiqvPMs,https://r4---sn-oguesnze.googlevideo.com,74.125.106.138,15169,,1.033154010772705,,200
Asia/Google,E,2020-10-23 18:37:30.382468,https://www.youtube.com/watch?v=YTZ-GZPTND8,https://r1---sn-oguelnlz.googlevideo.com,74.125.106.230,15169,,0.015047073364257812,,200
Asia/Google,E,2020-10-23 18:37:43.742301,https://www.youtube.com/watch?v=6Dh-RL__uN4,https://r1---sn-oguelnl7.googlevideo.com,173.194.49.38,15169,,0.016507863998413086,,200
