Location,TestME,ID,Url,CacheUrl,IP,ASNumber,PingAVG,TimeToGetFirstByte,RedirectUrl,StatusCode
Europe/Aalto,E,2020-10-23 20:30:14.422731,https://www.youtube.com/watch?v=7CZq5SkIiu0,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,7.711,0.09425997734069824,,200
Europe/Aalto,E,2020-10-23 20:30:44.724701,https://www.youtube.com/watch?v=_luhn7TLfWU,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,7.775,,https://r2---sn-5go7ynez.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:30:53.851046,https://www.youtube.com/watch?v=_luhn7TLfWU,https://r2---sn-5go7ynez.googlevideo.com,173.194.163.88,15169,21.481,0.13435912132263184,,200
Europe/Aalto,E,2020-10-23 20:31:19.628981,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.206,2603,7.868,,https://r3---sn-5go7yner.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:31:28.772640,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-5go7yner.googlevideo.com,74.125.110.168,15169,43.984,,https://r3---sn-5hne6n7z.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:31:42.371890,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-5hne6n7z.googlevideo.com,74.125.8.57,15169,27.054,0.7192239761352539,,200
Europe/Aalto,E,2020-10-23 20:32:10.743749,https://www.youtube.com/watch?v=OaPt-19C2No,https://r2---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.205,2603,8.519,0.09134793281555176,,200
Europe/Aalto,E,2020-10-23 20:32:39.805594,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,8.014,,https://r5---sn-5goeen7k.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:32:48.927036,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r5---sn-5goeen7k.googlevideo.com,173.194.150.203,15169,22.06,,https://r5---sn-5hnekn7d.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:32:59.732845,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r5---sn-5hnekn7d.googlevideo.com,209.85.226.42,15169,26.616,0.38839197158813477,,200
Europe/Aalto,E,2020-10-23 20:33:26.168454,https://www.youtube.com/watch?v=hoXj-j0VSTA,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,32.7,,https://r4---sn-5go7yne6.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:33:35.428087,https://www.youtube.com/watch?v=hoXj-j0VSTA,https://r4---sn-5go7yne6.googlevideo.com,173.194.163.106,15169,22.129,0.18014287948608398,,200
Europe/Aalto,E,2020-10-23 20:33:58.554255,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,8.08,,https://r1---sn-5go7ynez.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:34:07.681899,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-5go7ynez.googlevideo.com,173.194.163.87,15169,22.209,,https://r1---sn-5hne6nlr.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:34:16.818689,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-5hne6nlr.googlevideo.com,74.125.8.183,15169,26.045,0.6822779178619385,,200
Europe/Aalto,E,2020-10-23 20:34:43.684460,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.88,,https://r6---sn-5goeen7d.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:34:52.803212,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r6---sn-5goeen7d.googlevideo.com,173.194.150.188,15169,22.224,,https://r6---sn-5hne6nlr.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:35:01.926347,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r6---sn-5hne6nlr.googlevideo.com,74.125.8.188,15169,25.92,0.5824179649353027,,200
Europe/Aalto,E,2020-10-23 20:35:26.303628,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,216.58.207.246,15169,38.199,0.5231978893280029,,200
Europe/Aalto,E,2020-10-23 20:35:51.202376,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,216.58.207.246,15169,22.323,0.137131929397583,,200
Europe/Aalto,E,2020-10-23 20:36:17.278680,https://www.youtube.com/watch?v=XSpURiqvPMs,https://r4---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.207,2603,7.862,,https://r4---sn-5goeen7d.googlevideo.com,302
Europe/Aalto,E,2020-10-23 20:36:26.396243,https://www.youtube.com/watch?v=XSpURiqvPMs,https://r4---sn-5goeen7d.googlevideo.com,173.194.150.186,15169,42.809,0.5123751163482666,,200
Europe/Aalto,E,2020-10-23 20:36:50.153886,https://www.youtube.com/watch?v=YTZ-GZPTND8,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.962,0.10877084732055664,,200
Europe/Aalto,E,2020-10-23 20:37:13.780781,https://www.youtube.com/watch?v=6Dh-RL__uN4,https://r1---sn-ovgq0oxu-5goe.googlevideo.com,109.105.109.204,2603,7.743,0.08855485916137695,,200
